Name,B2,B6,B7,B9,B10,B11,B14,B15,BRBR
O2.UC15-1_GL0030467,0,1,1,0,1,0,0,0,0
MH0002_GL0016913,0,1,0,1,0,0,1,0,1
MH0351_GL0096539,0,1,0,1,0,0,1,0,1
556268.OFAG_01944,0,1,0,0,0,0,0,0,1
V1.UC1-0_GL0030498,0,1,0,0,0,0,0,0,0
MH0089_GL0003091,0,1,0,1,0,0,0,0,1
DLM016_GL0038610,0,1,0,1,0,1,1,1,0
MH0010_GL0032493,0,1,0,0,1,0,0,0,0
226186.BT_4247,0,1,1,1,1,0,1,0,0
MH0182_GL0053367,0,1,0,1,0,0,1,0,1
MH0002_GL0046076,0,1,0,0,0,0,0,0,1
MH0124_GL0022709,0,1,0,1,0,0,1,0,1
MH0375_GL0114675,0,1,0,1,0,0,0,0,1
MH0041_GL0017839,0,1,1,1,1,0,1,0,0
HT8A_GL0072212,0,1,0,1,0,0,0,0,1
MH0002_GL0029421,0,1,0,0,0,0,0,0,1
MH0002_GL0046424,0,1,0,0,0,0,0,0,1
O2.UC6-2_GL0057888,0,1,1,0,0,0,0,0,1
MH0002_GL0007882,0,1,0,0,0,0,0,0,1
N087A_GL0078611,0,1,0,1,1,1,1,1,1
MH0013_GL0019938,0,1,0,0,0,0,0,0,0
MH0066_GL0053099,0,1,0,0,0,0,0,0,1
MH0196_GL0196236,0,1,0,0,0,0,0,0,1
MH0002_GL0020653,0,1,0,1,0,0,0,0,1
MH0066_GL0037400,0,1,0,1,0,0,0,0,1
MH0013_GL0037461,0,1,0,1,1,0,0,0,1
MH0002_GL0026540,0,1,0,1,0,0,0,0,1
199310.c4900,0,1,0,1,1,1,1,1,1
MH0071_GL0060761,0,1,1,1,0,0,0,0,0
MH0002_GL0028621,0,1,0,1,0,0,0,0,1
MH0002_GL0041462,0,1,0,1,0,0,1,0,1
MH0089_GL0097635,0,1,0,1,0,0,0,0,1
MH0016_GL0053214,0,1,1,1,1,0,1,0,1
MH0010_GL0009891,0,1,1,0,1,0,0,0,0
NOM023_GL0019281,0,1,1,0,1,0,0,0,0
O2.UC46-2_GL0146529,0,1,0,0,0,0,0,0,0
O2.UC40-1_GL0179261,0,1,0,1,0,0,0,0,1
MH0054_GL0077266,0,1,0,1,0,0,1,0,1
MH0041_GL0029127,0,1,1,0,0,0,0,0,0
MH0026_GL0002842,0,1,1,1,0,0,1,0,1
V1.CD3-0-PN_GL0076042,0,1,0,0,0,0,0,0,0
MH0037_GL0042559,0,1,0,1,0,0,1,0,1
MH0199_GL0004456,0,1,0,0,0,0,0,0,0
MH0230_GL0062960,0,1,0,1,0,0,0,0,1
MH0371_GL0066116,0,1,1,0,1,0,1,0,1
MH0106_GL0093041,0,1,1,0,1,0,1,0,1
MH0002_GL0069446,0,1,0,1,0,0,1,0,1
T2D-19A_GL0079441,0,1,0,0,0,0,0,0,0
MH0350_GL0143198,0,0,1,0,0,0,0,0,0
NLM023_GL0007606,0,0,1,0,0,0,0,0,0
MH0359_GL0154558,0,0,1,0,1,0,0,0,0
MH0122_GL0011708,0,0,1,0,1,0,0,0,0
MH0267_GL0032976,0,0,1,0,1,0,0,0,0
V1.FI25_GL0126769,0,0,1,1,1,0,1,0,0
V1.CD1-0-PN_GL0073475,0,0,1,0,1,0,0,0,0
MH0054_GL0051226,0,0,1,0,1,0,1,0,0
O2.UC50-2_GL0115215,0,0,1,1,1,0,0,0,0
V1.UC8-0_GL0057512,0,0,1,0,0,0,0,0,0
N087A_GL0084214,0,0,1,0,1,0,0,0,0
MH0109_GL0006162,0,0,1,0,1,0,0,0,0
MH0197_GL0111665,0,0,1,0,0,0,0,0,0
DOM001_GL0042947,0,0,1,0,1,0,0,0,0
MH0068_GL0019773,0,0,1,0,1,0,0,0,0
MH0325_GL0061646,0,0,1,0,1,0,0,0,0
T2D-154A_GL0082729,0,0,1,0,0,0,0,0,0
