Name;B2;B6;B7;B9;B10;B11;B14;B15;BRBR
239;0;0;1;0;0;0;0;0;0
240;0;0;1;0;0;0;0;0;0
241;0;0;1;0;1;0;0;0;0
242;0;0;1;0;0;0;0;0;0
243;0;0;1;0;0;0;1;0;1
244;0;0;1;0;0;0;0;0;0
245;0;0;1;0;0;0;0;0;0
246;0;0;1;0;0;0;0;0;0
247;0;0;1;0;1;0;0;0;0
248;0;0;1;0;1;0;1;0;1
249;0;0;1;1;0;0;0;0;0
250;0;0;1;0;0;0;0;0;0
251;0;0;1;0;0;0;0;0;0
252;0;0;1;0;0;0;0;0;0
253;0;0;1;0;1;0;0;0;0
254;0;0;1;0;0;0;0;0;0
255;0;0;1;0;1;0;0;0;0
256;0;0;1;0;1;0;0;0;0
257;0;0;1;0;1;0;0;0;0
258;0;0;1;0;1;0;0;0;0
259;0;0;1;0;1;0;0;0;0
260;0;0;1;0;0;0;0;0;0
261;0;0;1;0;0;0;0;0;0
262;0;0;1;0;0;0;0;0;0
263;0;0;1;0;0;0;0;0;0
264;0;0;1;0;0;0;0;0;0
265;0;0;1;0;0;0;0;0;0
266;0;0;1;0;0;0;0;0;0
267;0;0;1;0;0;0;0;0;0
268;0;0;1;0;1;0;0;0;0
269;0;0;1;0;1;0;0;0;0
270;0;0;1;0;0;0;0;0;0
271;0;0;1;0;0;0;0;0;0
272;0;0;1;0;1;0;0;0;0
273;0;0;1;0;0;0;0;0;0
274;0;0;1;1;0;0;0;0;0
275;0;0;1;0;0;0;0;0;0
276;0;0;1;0;1;0;0;0;0
277;0;0;1;1;0;0;0;0;0
278;0;0;0;1;1;1;1;1;1
279;0;0;0;1;1;1;1;1;1
280;0;0;0;1;0;1;1;1;0
281;0;0;0;1;1;1;1;1;1
282;0;0;0;1;0;1;1;1;1
283;0;0;0;1;0;0;0;0;0
284;0;0;0;1;0;1;1;1;1
285;0;0;0;1;0;1;1;1;0
286;0;0;0;1;0;1;1;1;0
287;0;0;0;1;0;1;1;1;0
288;0;0;0;1;0;1;1;1;0
289;0;0;0;1;0;1;1;1;0
290;0;0;0;1;0;1;1;1;0
291;0;0;0;1;0;1;1;1;1
292;0;0;0;1;0;0;0;0;0
293;0;0;0;1;0;1;1;1;0
294;0;0;0;1;0;1;1;1;0
295;0;0;0;1;0;1;1;1;0
296;0;0;0;1;0;1;1;1;0
297;0;0;0;1;0;1;1;1;0
298;0;0;0;1;0;1;1;1;0
299;0;0;0;1;0;1;1;1;0
300;0;0;0;1;1;1;1;1;1
301;0;0;0;1;0;1;0;1;1
302;0;0;0;1;0;1;1;1;0
303;0;0;0;1;0;1;0;1;0
304;0;0;0;1;1;1;1;1;1
305;0;0;0;1;0;1;1;1;0
306;0;0;0;1;0;1;1;1;0
307;0;0;0;1;0;1;1;1;1
308;0;0;0;1;0;1;0;1;0
309;0;0;0;1;0;1;1;1;0
310;0;0;0;1;0;1;1;1;0
311;0;0;0;1;0;1;1;1;0
312;0;0;0;1;0;1;1;1;0
313;0;0;0;1;0;1;1;1;0
314;0;0;0;1;0;1;0;1;0
315;0;0;0;1;0;1;1;1;0
316;0;0;0;1;0;1;1;1;1
317;0;0;0;1;0;1;1;1;0
318;0;0;0;1;0;1;1;1;0
319;0;0;0;1;0;1;1;1;0
320;0;0;0;1;0;1;1;1;0
321;0;0;0;1;0;0;0;0;0
322;0;0;0;1;0;1;0;1;0
323;0;0;0;1;0;1;1;1;0
324;0;0;0;1;0;1;1;1;0
325;0;0;0;1;0;1;1;1;1
326;0;0;0;1;0;1;1;1;0
327;0;0;0;1;0;0;0;0;1
328;0;0;0;1;0;0;0;0;0
329;0;0;0;1;0;0;0;0;1
330;0;0;0;1;0;0;0;0;1
331;0;0;0;1;0;0;0;0;1
332;0;0;0;1;0;0;0;0;1
333;0;0;0;1;0;0;0;0;1
334;0;0;0;1;0;0;0;0;0
335;0;0;0;1;0;0;0;0;0
336;0;0;0;1;0;0;0;0;1
337;0;0;0;1;0;0;0;0;1
338;0;0;0;1;0;0;0;0;0
339;0;0;0;1;0;0;0;0;0
340;0;0;0;1;0;0;0;0;1
341;0;0;0;1;0;0;0;0;1
342;0;0;0;1;0;0;0;0;1
343;0;0;0;1;0;0;0;0;1
344;0;0;0;1;1;0;1;0;0
345;0;0;0;1;0;0;0;0;1
346;0;0;0;1;0;0;0;0;1
347;0;0;0;1;1;0;0;0;0
348;0;0;0;1;0;0;0;0;0
349;0;0;0;1;0;0;0;0;0
350;0;0;0;0;1;1;1;1;0
351;0;0;0;0;1;0;0;0;0
352;0;0;0;0;1;1;1;1;0
353;0;0;0;0;1;0;0;0;0
354;0;0;0;0;1;1;1;1;1
355;0;0;0;0;1;1;1;1;0
356;0;0;0;0;1;0;0;0;0
357;0;0;0;0;1;0;0;0;0
358;0;0;0;0;1;0;0;0;0
359;0;0;0;0;1;0;0;0;0
360;0;0;0;0;1;0;0;0;0
361;0;0;0;0;1;0;0;0;0
362;0;0;0;0;1;0;0;0;0
363;0;0;0;0;1;0;0;0;0
364;0;0;0;0;1;0;0;0;0
365;0;0;0;0;1;0;0;0;0
366;0;0;0;0;1;0;0;0;0
367;0;0;0;0;1;0;0;0;0
368;0;0;0;0;1;0;0;0;0
369;0;0;0;0;1;0;0;0;0
370;0;0;0;0;1;0;0;0;0
371;0;0;0;0;1;0;0;0;0
372;0;0;0;0;1;0;0;0;0
373;0;0;0;0;1;0;0;0;0
